ticket_id,customer_id,order_id,issue_type,ticket_text,priority,status,channel,location,assigned_team,payment_method,customer_tier,requires_escalation,sla_breach,resolution_time_hours,created_at
DEL-TKT0000,CUST9752,ORD65426,Reporting - Missing Data,The weekly sales performance report for Region East is missing data entirely for Store 022 and Store 025. Data gap needs urgent attention for leadership review.,High,Open,Mobile App,Delhi,Customer Support,Debit Card,Platinum,Yes,Yes,70,2026-05-19 11:41:07
BEN-TKT0001,CUST7479,ORD23549,POS - Transaction Error,Customer unable to complete purchase at Register 4. System displays 'Payment Processing Failure' for all card types. Affecting transactions.,High,Open,Mobile App,Bengaluru,Logistics Team,Wallet,Platinum,Yes,No,36,2026-05-24 11:41:07
PUN-TKT0002,CUST3992,ORD44473,POS - Transaction Error,Customer unable to complete purchase at Register 4. System displays 'Payment Processing Failure' for all card types. Affecting transactions.,High,Open,Email,Pune,Fraud Investigation,UPI,Silver,No,No,64,2026-05-09 08:41:07
PUN-TKT0003,CUST7933,ORD14515,E-commerce - Website Bug,Online customers reporting that the 'Add to Cart' button is non-functional for products within the 'Electronics' category. Affecting sales.,High,Open,Chat,Pune,Logistics Team,Credit Card,Gold,Yes,No,46,2026-05-03 01:41:07
DEL-TKT0004,CUST5136,ORD99151,Supply Chain - Delivery Shortage,"Receiving manifest for yesterday's shipment (PO 123456) indicates 10 cartons of SKU 45678, but only 7 were physically received. Missing 3 cartons.",Medium,Open,Chat,Delhi,Payment Support,Debit Card,Silver,Yes,Yes,7,2026-05-24 08:41:07
CHE-TKT0005,CUST8390,ORD79205,Supply Chain - Delivery Shortage,"Receiving manifest for yesterday's shipment (PO 123456) indicates 10 cartons of SKU 45678, but only 7 were physically received. Missing 3 cartons.",Medium,Open,Mobile App,Chennai,Logistics Team,Debit Card,Gold,Yes,Yes,48,2026-05-18 14:41:07
DEL-TKT0006,CUST6448,ORD97239,E-commerce - Email Notification,Customers are reporting not receiving order confirmation emails or shipping notifications for their recent online purchases. Appears to be a system-wide issue.,High,Open,Phone,Delhi,Warehouse Operations,Wallet,Platinum,No,No,20,2026-05-10 02:41:07
BEN-TKT0007,CUST7541,ORD70279,E-commerce - Email Notification,Customers are reporting not receiving order confirmation emails or shipping notifications for their recent online purchases. Appears to be a system-wide issue.,High,Open,Email,Bengaluru,Logistics Team,Wallet,Gold,No,No,10,2026-05-07 03:41:07
PUN-TKT0008,CUST3014,ORD54382,E-commerce - Email Notification,Customers are reporting not receiving order confirmation emails or shipping notifications for their recent online purchases. Appears to be a system-wide issue.,High,Open,Mobile App,Pune,Fraud Investigation,UPI,Platinum,Yes,Yes,2,2026-05-01 05:41:07
BEN-TKT0009,CUST4845,ORD15994,POS - Return Error,"Customer attempting a return at Register 1. System states 'Item not found in purchase history' despite valid receipt. Manual override necessary, but system issue needs resolution.",Medium,Open,Chat,Bengaluru,Logistics Team,Debit Card,Silver,Yes,No,26,2026-04-30 03:41:07
MUM-TKT0010,CUST2265,ORD80416,Reporting - Missing Data,The weekly sales performance report for Region East is missing data entirely for Store 022 and Store 025. Data gap needs urgent attention for leadership review.,High,Open,Chat,Mumbai,Warehouse Operations,UPI,Platinum,No,No,72,2026-05-13 01:41:07
PUN-TKT0011,CUST9058,ORD31512,Integration - BOPIS Sync,"Online orders designated for 'Buy Online, Pick Up In Store' are not appearing in our in-store pick-up system. Causing delays and customer dissatisfaction.",High,Open,Phone,Pune,Technical Support,Debit Card,Silver,Yes,Yes,56,2026-05-01 20:41:07
DEL-TKT0012,CUST3553,ORD78836,Hardware - Printer Issue,"Label printer in the receiving department is consistently printing blank labels or misaligning text. Consumables checked and replaced, issue persists.",Medium,Open,Chat,Delhi,Logistics Team,Wallet,Platinum,Yes,Yes,56,2026-04-30 17:41:07
DEL-TKT0013,CUST8795,ORD97861,Network - System Slowdown,"All store systems (POS, Inventory, Back Office) are experiencing significant intermittent network slowdowns throughout the day. Appears to be affecting all terminals.",High,Open,Chat,Delhi,Warehouse Operations,Debit Card,Silver,No,Yes,4,2026-05-11 01:41:07
DEL-TKT0014,CUST6330,ORD14185,Software - CRM Performance,"CRM system is experiencing severe latency. Loading customer profiles takes upwards of 45 seconds, significantly impacting call center efficiency.",High,Open,Email,Delhi,Customer Support,Credit Card,Silver,Yes,Yes,22,2026-05-08 14:41:07
CHE-TKT0015,CUST9877,ORD21353,Supply Chain - Delivery Shortage,"Receiving manifest for yesterday's shipment (PO 123456) indicates 10 cartons of SKU 45678, but only 7 were physically received. Missing 3 cartons.",Medium,Open,Mobile App,Chennai,Payment Support,Wallet,Platinum,Yes,No,46,2026-05-01 23:41:07
BEN-TKT0016,CUST9456,ORD53805,Supply Chain - Delivery Shortage,"Receiving manifest for yesterday's shipment (PO 123456) indicates 10 cartons of SKU 45678, but only 7 were physically received. Missing 3 cartons.",Medium,Open,Chat,Bengaluru,Warehouse Operations,Debit Card,Silver,No,No,38,2026-05-03 19:41:07
CHE-TKT0017,CUST2041,ORD99039,Hardware - Handheld Scanner,Handheld inventory scanner (Asset ID H201) is failing to connect to the store Wi-Fi network. Unable to perform inventory tasks.,Medium,Open,Phone,Chennai,Warehouse Operations,UPI,Gold,No,No,30,2026-05-21 05:41:07
MUM-TKT0018,CUST5457,ORD56705,POS - Transaction Error,Customer unable to complete purchase at Register 4. System displays 'Payment Processing Failure' for all card types. Affecting transactions.,High,Open,Mobile App,Mumbai,Warehouse Operations,UPI,Platinum,No,Yes,41,2026-04-23 21:41:07
BEN-TKT0019,CUST5222,ORD47836,Reporting - Data Inaccuracy,"End-of-day sales report for Store 010 shows $0.00 total sales, which is incorrect. Actual sales were over $10,000. Data integrity issue.",High,Open,Phone,Bengaluru,Warehouse Operations,Debit Card,Silver,No,Yes,37,2026-04-30 06:41:07
PUN-TKT0020,CUST9310,ORD32196,Hardware - Printer Issue,"Label printer in the receiving department is consistently printing blank labels or misaligning text. Consumables checked and replaced, issue persists.",Medium,Open,Chat,Pune,Fraud Investigation,Wallet,Platinum,No,No,70,2026-05-04 02:41:07
MUM-TKT0021,CUST3179,ORD75298,Hardware - Payment Terminal,"EMV chip reader on POS Terminal 5 is intermittently failing to read customer credit cards, forcing manual entry or swipe transactions. Causing slowdowns.",Medium,Open,Phone,Mumbai,Payment Support,Credit Card,Silver,Yes,Yes,64,2026-05-22 08:41:07
CHE-TKT0022,CUST5933,ORD33798,Hardware - Payment Terminal,"EMV chip reader on POS Terminal 5 is intermittently failing to read customer credit cards, forcing manual entry or swipe transactions. Causing slowdowns.",Medium,Open,Mobile App,Chennai,Logistics Team,Credit Card,Platinum,No,Yes,27,2026-05-03 00:41:07
MUM-TKT0023,CUST8831,ORD94614,Promotions - Discount Error,New promotional code 'SAVE20' is not applying the 20% discount correctly at online checkout and fails completely at in-store POS. Affecting current sales promotion.,High,Open,Email,Mumbai,Payment Support,UPI,Platinum,Yes,No,46,2026-05-04 03:41:07
MUM-TKT0024,CUST9936,ORD98048,Integration - BOPIS Sync,"Online orders designated for 'Buy Online, Pick Up In Store' are not appearing in our in-store pick-up system. Causing delays and customer dissatisfaction.",High,Open,Chat,Mumbai,Fraud Investigation,UPI,Silver,No,Yes,18,2026-05-05 15:41:07
CHE-TKT0025,CUST8667,ORD42857,E-commerce - Website Bug,Online customers reporting that the 'Add to Cart' button is non-functional for products within the 'Electronics' category. Affecting sales.,High,Open,Chat,Chennai,Payment Support,Debit Card,Platinum,No,Yes,45,2026-05-15 04:41:07
PUN-TKT0026,CUST2538,ORD97963,Software - CRM Performance,"CRM system is experiencing severe latency. Loading customer profiles takes upwards of 45 seconds, significantly impacting call center efficiency.",High,Open,Chat,Pune,Customer Support,Credit Card,Platinum,Yes,No,3,2026-04-24 00:41:07
CHE-TKT0027,CUST2937,ORD54594,POS - Transaction Error,Customer unable to complete purchase at Register 4. System displays 'Payment Processing Failure' for all card types. Affecting transactions.,High,Open,Mobile App,Chennai,Payment Support,UPI,Gold,No,Yes,1,2026-04-25 07:41:07
PUN-TKT0028,CUST1818,ORD27509,Network - System Slowdown,"All store systems (POS, Inventory, Back Office) are experiencing significant intermittent network slowdowns throughout the day. Appears to be affecting all terminals.",High,Open,Phone,Pune,Technical Support,UPI,Platinum,No,No,53,2026-05-08 15:41:07
CHE-TKT0029,CUST5333,ORD40853,Pricing - Scan Error,"Product with SKU 23456 (item 'Premium Coffee Beans') is scanning at $12.99, but promotional signage clearly states $9.99. Customer complaints received.",Medium,Open,Mobile App,Chennai,Fraud Investigation,Debit Card,Gold,Yes,Yes,14,2026-04-27 15:41:07
MUM-TKT0030,CUST6949,ORD19867,Supply Chain - Delivery Shortage,"Receiving manifest for yesterday's shipment (PO 123456) indicates 10 cartons of SKU 45678, but only 7 were physically received. Missing 3 cartons.",Medium,Open,Email,Mumbai,Warehouse Operations,Wallet,Platinum,Yes,Yes,1,2026-05-02 09:41:07
PUN-TKT0031,CUST2427,ORD23729,POS - Transaction Error,Customer unable to complete purchase at Register 4. System displays 'Payment Processing Failure' for all card types. Affecting transactions.,High,Open,Chat,Pune,Fraud Investigation,UPI,Silver,No,Yes,44,2026-05-10 16:41:07
MUM-TKT0032,CUST7638,ORD52984,Promotions - Discount Error,New promotional code 'SAVE20' is not applying the 20% discount correctly at online checkout and fails completely at in-store POS. Affecting current sales promotion.,High,Open,Email,Mumbai,Warehouse Operations,Debit Card,Silver,Yes,No,9,2026-05-05 21:41:07
CHE-TKT0033,CUST9717,ORD42310,E-commerce - Website Bug,Online customers reporting that the 'Add to Cart' button is non-functional for products within the 'Electronics' category. Affecting sales.,High,Open,Phone,Chennai,Warehouse Operations,Wallet,Silver,No,No,8,2026-05-13 10:41:07
DEL-TKT0034,CUST2679,ORD34963,E-commerce - Email Notification,Customers are reporting not receiving order confirmation emails or shipping notifications for their recent online purchases. Appears to be a system-wide issue.,High,Open,Email,Delhi,Payment Support,UPI,Gold,No,Yes,68,2026-04-27 10:41:07
BEN-TKT0035,CUST4164,ORD70202,E-commerce - Product Display,Product image for SKU 334455 ('Wireless Earbuds') on the website is incorrect; currently displaying a picture of a coffee maker. Needs urgent correction.,Medium,Open,Email,Bengaluru,Technical Support,UPI,Silver,Yes,Yes,62,2026-05-10 20:41:07
MUM-TKT0036,CUST9116,ORD50910,E-commerce - Email Notification,Customers are reporting not receiving order confirmation emails or shipping notifications for their recent online purchases. Appears to be a system-wide issue.,High,Open,Chat,Mumbai,Fraud Investigation,Debit Card,Gold,No,No,58,2026-05-05 11:41:07
CHE-TKT0037,CUST2485,ORD18818,Reporting - Missing Data,The weekly sales performance report for Region East is missing data entirely for Store 022 and Store 025. Data gap needs urgent attention for leadership review.,High,Open,Phone,Chennai,Warehouse Operations,UPI,Silver,Yes,Yes,20,2026-04-29 04:41:07
BEN-TKT0038,CUST4662,ORD74274,Hardware - Handheld Scanner,Handheld inventory scanner (Asset ID H201) is failing to connect to the store Wi-Fi network. Unable to perform inventory tasks.,Medium,Open,Mobile App,Bengaluru,Warehouse Operations,Debit Card,Platinum,Yes,Yes,40,2026-04-30 16:41:07
CHE-TKT0039,CUST7314,ORD73728,E-commerce - Website Bug,Online customers reporting that the 'Add to Cart' button is non-functional for products within the 'Electronics' category. Affecting sales.,High,Open,Mobile App,Chennai,Warehouse Operations,Debit Card,Platinum,No,Yes,37,2026-05-17 17:41:07
MUM-TKT0040,CUST8961,ORD12368,Promotions - Discount Error,New promotional code 'SAVE20' is not applying the 20% discount correctly at online checkout and fails completely at in-store POS. Affecting current sales promotion.,High,Open,Chat,Mumbai,Warehouse Operations,Credit Card,Gold,Yes,No,35,2026-05-06 06:41:07
MUM-TKT0041,CUST9035,ORD11249,E-commerce - Product Display,Product image for SKU 334455 ('Wireless Earbuds') on the website is incorrect; currently displaying a picture of a coffee maker. Needs urgent correction.,Medium,Open,Email,Mumbai,Customer Support,UPI,Silver,Yes,Yes,55,2026-05-22 00:41:07
DEL-TKT0042,CUST6664,ORD90688,Pricing - Scan Error,"Product with SKU 23456 (item 'Premium Coffee Beans') is scanning at $12.99, but promotional signage clearly states $9.99. Customer complaints received.",Medium,Open,Email,Delhi,Technical Support,Debit Card,Gold,No,No,58,2026-05-13 20:41:07
PUN-TKT0043,CUST7609,ORD23026,Hardware - Payment Terminal,"EMV chip reader on POS Terminal 5 is intermittently failing to read customer credit cards, forcing manual entry or swipe transactions. Causing slowdowns.",Medium,Open,Phone,Pune,Fraud Investigation,Credit Card,Gold,Yes,No,62,2026-05-11 03:41:07
BEN-TKT0044,CUST8214,ORD80412,Inventory - Discrepancy,"Daily cycle count for SKU 78901 shows a discrepancy of -15 units. Physical count is 20, system shows 35. Requires immediate investigation.",Medium,Open,Chat,Bengaluru,Technical Support,Credit Card,Gold,No,Yes,60,2026-05-23 09:41:07
MUM-TKT0045,CUST6511,ORD32202,Supply Chain - Delivery Shortage,"Receiving manifest for yesterday's shipment (PO 123456) indicates 10 cartons of SKU 45678, but only 7 were physically received. Missing 3 cartons.",Medium,Open,Chat,Mumbai,Customer Support,Debit Card,Gold,No,Yes,51,2026-05-18 14:41:07
BEN-TKT0046,CUST7999,ORD33411,Hardware - Handheld Scanner,Handheld inventory scanner (Asset ID H201) is failing to connect to the store Wi-Fi network. Unable to perform inventory tasks.,Medium,Open,Chat,Bengaluru,Payment Support,Credit Card,Gold,Yes,Yes,17,2026-05-06 09:41:07
CHE-TKT0047,CUST7080,ORD54529,Promotions - Discount Error,New promotional code 'SAVE20' is not applying the 20% discount correctly at online checkout and fails completely at in-store POS. Affecting current sales promotion.,High,Open,Email,Chennai,Logistics Team,UPI,Silver,No,No,49,2026-04-27 15:41:07
PUN-TKT0048,CUST9292,ORD71515,E-commerce - Email Notification,Customers are reporting not receiving order confirmation emails or shipping notifications for their recent online purchases. Appears to be a system-wide issue.,High,Open,Email,Pune,Payment Support,Credit Card,Gold,Yes,Yes,44,2026-04-30 09:41:07
BEN-TKT0049,CUST2514,ORD88425,E-commerce - Website Bug,Online customers reporting that the 'Add to Cart' button is non-functional for products within the 'Electronics' category. Affecting sales.,High,Open,Mobile App,Bengaluru,Payment Support,Credit Card,Platinum,No,Yes,40,2026-05-03 10:41:07
PUN-TKT0050,CUST4995,ORD65245,Reporting - Missing Data,The weekly sales performance report for Region East is missing data entirely for Store 022 and Store 025. Data gap needs urgent attention for leadership review.,High,Open,Mobile App,Pune,Payment Support,Wallet,Gold,Yes,Yes,39,2026-05-19 18:41:07
CHE-TKT0051,CUST7748,ORD59294,Inventory - Discrepancy,"Daily cycle count for SKU 78901 shows a discrepancy of -15 units. Physical count is 20, system shows 35. Requires immediate investigation.",Medium,Open,Phone,Chennai,Technical Support,Credit Card,Platinum,No,No,31,2026-05-19 09:41:07
DEL-TKT0052,CUST2104,ORD74601,E-commerce - Website Bug,Online customers reporting that the 'Add to Cart' button is non-functional for products within the 'Electronics' category. Affecting sales.,High,Open,Phone,Delhi,Logistics Team,Credit Card,Silver,No,Yes,45,2026-04-26 01:41:07
BEN-TKT0053,CUST3349,ORD79835,Supply Chain - Delivery Shortage,"Receiving manifest for yesterday's shipment (PO 123456) indicates 10 cartons of SKU 45678, but only 7 were physically received. Missing 3 cartons.",Medium,Open,Email,Bengaluru,Logistics Team,Wallet,Silver,No,No,68,2026-05-07 16:41:07
DEL-TKT0054,CUST1680,ORD81311,POS - Return Error,"Customer attempting a return at Register 1. System states 'Item not found in purchase history' despite valid receipt. Manual override necessary, but system issue needs resolution.",Medium,Open,Phone,Delhi,Logistics Team,Wallet,Silver,No,Yes,31,2026-05-12 13:41:07
CHE-TKT0055,CUST4727,ORD77505,Pricing - Scan Error,"Product with SKU 23456 (item 'Premium Coffee Beans') is scanning at $12.99, but promotional signage clearly states $9.99. Customer complaints received.",Medium,Open,Email,Chennai,Warehouse Operations,Credit Card,Silver,No,Yes,59,2026-05-01 13:41:07
CHE-TKT0056,CUST3338,ORD52869,Network - System Slowdown,"All store systems (POS, Inventory, Back Office) are experiencing significant intermittent network slowdowns throughout the day. Appears to be affecting all terminals.",High,Open,Phone,Chennai,Fraud Investigation,UPI,Platinum,No,No,39,2026-05-20 12:41:07
MUM-TKT0057,CUST2369,ORD40658,Network - System Slowdown,"All store systems (POS, Inventory, Back Office) are experiencing significant intermittent network slowdowns throughout the day. Appears to be affecting all terminals.",High,Open,Chat,Mumbai,Technical Support,Wallet,Gold,Yes,Yes,13,2026-05-20 06:41:07
PUN-TKT0058,CUST3460,ORD48567,Promotions - Discount Error,New promotional code 'SAVE20' is not applying the 20% discount correctly at online checkout and fails completely at in-store POS. Affecting current sales promotion.,High,Open,Email,Pune,Payment Support,Credit Card,Silver,Yes,Yes,43,2026-05-04 10:41:07
DEL-TKT0059,CUST3884,ORD62907,E-commerce - Email Notification,Customers are reporting not receiving order confirmation emails or shipping notifications for their recent online purchases. Appears to be a system-wide issue.,High,Open,Chat,Delhi,Warehouse Operations,Credit Card,Gold,Yes,Yes,50,2026-04-26 18:41:07
MUM-TKT0060,CUST2117,ORD11248,Access - User Account,"New associate, Sarah Miller, is unable to log into the Inventory Management System. Receives 'Invalid Credentials' error. Account setup may be incomplete.",Medium,Open,Email,Mumbai,Technical Support,UPI,Gold,Yes,No,42,2026-04-30 18:41:07
CHE-TKT0061,CUST2019,ORD85952,POS - Return Error,"Customer attempting a return at Register 1. System states 'Item not found in purchase history' despite valid receipt. Manual override necessary, but system issue needs resolution.",Medium,Open,Mobile App,Chennai,Fraud Investigation,Debit Card,Silver,No,Yes,52,2026-05-20 08:41:07
BEN-TKT0062,CUST3159,ORD54672,Hardware - Printer Issue,"Label printer in the receiving department is consistently printing blank labels or misaligning text. Consumables checked and replaced, issue persists.",Medium,Open,Email,Bengaluru,Fraud Investigation,Wallet,Silver,No,Yes,24,2026-05-16 07:41:07
CHE-TKT0063,CUST1492,ORD20945,E-commerce - Website Bug,Online customers reporting that the 'Add to Cart' button is non-functional for products within the 'Electronics' category. Affecting sales.,High,Open,Chat,Chennai,Technical Support,Credit Card,Gold,No,No,4,2026-04-30 10:41:07
PUN-TKT0064,CUST9840,ORD52236,Supply Chain - Delivery Shortage,"Receiving manifest for yesterday's shipment (PO 123456) indicates 10 cartons of SKU 45678, but only 7 were physically received. Missing 3 cartons.",Medium,Open,Phone,Pune,Customer Support,Credit Card,Gold,No,No,51,2026-05-14 17:41:07
PUN-TKT0065,CUST7969,ORD45706,E-commerce - Email Notification,Customers are reporting not receiving order confirmation emails or shipping notifications for their recent online purchases. Appears to be a system-wide issue.,High,Open,Email,Pune,Technical Support,Wallet,Gold,Yes,Yes,63,2026-05-15 08:41:07
DEL-TKT0066,CUST1996,ORD51757,Access - User Account,"New associate, Sarah Miller, is unable to log into the Inventory Management System. Receives 'Invalid Credentials' error. Account setup may be incomplete.",Medium,Open,Email,Delhi,Customer Support,Wallet,Platinum,Yes,Yes,13,2026-05-09 03:41:07
BEN-TKT0067,CUST9947,ORD11951,Hardware - Handheld Scanner,Handheld inventory scanner (Asset ID H201) is failing to connect to the store Wi-Fi network. Unable to perform inventory tasks.,Medium,Open,Phone,Bengaluru,Technical Support,Wallet,Platinum,Yes,Yes,30,2026-04-23 22:41:07
MUM-TKT0068,CUST1852,ORD64178,Reporting - Missing Data,The weekly sales performance report for Region East is missing data entirely for Store 022 and Store 025. Data gap needs urgent attention for leadership review.,High,Open,Mobile App,Mumbai,Logistics Team,UPI,Platinum,Yes,Yes,62,2026-04-27 20:41:07
BEN-TKT0069,CUST5060,ORD63977,Hardware - POS Malfunction,POS Terminal 2 is completely frozen and unresponsive. Cannot log in or process any transactions. Hard reboot failed to resolve.,High,Open,Phone,Bengaluru,Customer Support,UPI,Silver,No,No,41,2026-04-28 19:41:07
MUM-TKT0070,CUST1896,ORD79772,Integration - BOPIS Sync,"Online orders designated for 'Buy Online, Pick Up In Store' are not appearing in our in-store pick-up system. Causing delays and customer dissatisfaction.",High,Open,Mobile App,Mumbai,Payment Support,Debit Card,Silver,No,Yes,27,2026-05-04 22:41:07
PUN-TKT0071,CUST6794,ORD60278,Software - CRM Performance,"CRM system is experiencing severe latency. Loading customer profiles takes upwards of 45 seconds, significantly impacting call center efficiency.",High,Open,Chat,Pune,Customer Support,Wallet,Platinum,No,No,8,2026-05-07 14:41:07
CHE-TKT0072,CUST5492,ORD38868,Reporting - Data Inaccuracy,"End-of-day sales report for Store 010 shows $0.00 total sales, which is incorrect. Actual sales were over $10,000. Data integrity issue.",High,Open,Mobile App,Chennai,Logistics Team,UPI,Platinum,No,No,22,2026-05-20 10:41:07
BEN-TKT0073,CUST1929,ORD46778,E-commerce - Website Bug,Online customers reporting that the 'Add to Cart' button is non-functional for products within the 'Electronics' category. Affecting sales.,High,Open,Mobile App,Bengaluru,Fraud Investigation,Credit Card,Platinum,Yes,Yes,48,2026-05-03 07:41:07
