ticket_id,customer_id,order_id,issue_type,ticket_text,priority,status,channel,location,assigned_team,payment_method,customer_tier,requires_escalation,sla_breach,resolution_time_hours,created_at
MUM-TKT0074,CUST1439,ORD15284,Access - User Account,"New associate, Sarah Miller, is unable to log into the Inventory Management System. Receives 'Invalid Credentials' error. Account setup may be incomplete.",Medium,Open,Mobile App,Mumbai,Fraud Investigation,Wallet,Platinum,Yes,Yes,7,2026-05-22 10:41:07
CHE-TKT0075,CUST3939,ORD33692,Network - System Slowdown,"All store systems (POS, Inventory, Back Office) are experiencing significant intermittent network slowdowns throughout the day. Appears to be affecting all terminals.",High,Open,Mobile App,Chennai,Fraud Investigation,Credit Card,Platinum,Yes,No,11,2026-05-11 23:41:07
PUN-TKT0076,CUST1954,ORD84106,Integration - BOPIS Sync,"Online orders designated for 'Buy Online, Pick Up In Store' are not appearing in our in-store pick-up system. Causing delays and customer dissatisfaction.",High,Open,Email,Pune,Customer Support,Wallet,Silver,No,No,28,2026-05-16 07:41:07
DEL-TKT0077,CUST1933,ORD67274,Access - User Account,"New associate, Sarah Miller, is unable to log into the Inventory Management System. Receives 'Invalid Credentials' error. Account setup may be incomplete.",Medium,Open,Chat,Delhi,Payment Support,Wallet,Gold,Yes,Yes,36,2026-05-21 05:41:07
MUM-TKT0078,CUST1394,ORD62571,Promotions - Discount Error,New promotional code 'SAVE20' is not applying the 20% discount correctly at online checkout and fails completely at in-store POS. Affecting current sales promotion.,High,Open,Email,Mumbai,Technical Support,Credit Card,Gold,No,No,15,2026-05-06 03:41:07
PUN-TKT0079,CUST5419,ORD30028,Access - User Account,"New associate, Sarah Miller, is unable to log into the Inventory Management System. Receives 'Invalid Credentials' error. Account setup may be incomplete.",Medium,Open,Mobile App,Pune,Logistics Team,Credit Card,Gold,Yes,Yes,53,2026-05-23 16:41:07
CHE-TKT0080,CUST4677,ORD10304,Reporting - Missing Data,The weekly sales performance report for Region East is missing data entirely for Store 022 and Store 025. Data gap needs urgent attention for leadership review.,High,Open,Chat,Chennai,Technical Support,Wallet,Platinum,Yes,No,61,2026-05-20 00:41:07
DEL-TKT0081,CUST5223,ORD33101,Integration - BOPIS Sync,"Online orders designated for 'Buy Online, Pick Up In Store' are not appearing in our in-store pick-up system. Causing delays and customer dissatisfaction.",High,Open,Chat,Delhi,Customer Support,Credit Card,Silver,Yes,No,50,2026-04-28 08:41:07
MUM-TKT0082,CUST3912,ORD99950,Network - System Slowdown,"All store systems (POS, Inventory, Back Office) are experiencing significant intermittent network slowdowns throughout the day. Appears to be affecting all terminals.",High,Open,Email,Mumbai,Warehouse Operations,UPI,Platinum,Yes,No,72,2026-05-03 18:41:07
PUN-TKT0083,CUST7520,ORD47077,Hardware - Payment Terminal,"EMV chip reader on POS Terminal 5 is intermittently failing to read customer credit cards, forcing manual entry or swipe transactions. Causing slowdowns.",Medium,Open,Email,Pune,Payment Support,Debit Card,Silver,No,No,37,2026-05-21 22:41:07
DEL-TKT0084,CUST6486,ORD17948,Reporting - Data Inaccuracy,"End-of-day sales report for Store 010 shows $0.00 total sales, which is incorrect. Actual sales were over $10,000. Data integrity issue.",High,Open,Email,Delhi,Customer Support,Credit Card,Platinum,No,Yes,46,2026-04-27 13:41:07
DEL-TKT0085,CUST9852,ORD69396,Reporting - Data Inaccuracy,"End-of-day sales report for Store 010 shows $0.00 total sales, which is incorrect. Actual sales were over $10,000. Data integrity issue.",High,Open,Phone,Delhi,Logistics Team,UPI,Gold,Yes,Yes,17,2026-05-13 15:41:07
DEL-TKT0086,CUST6770,ORD37109,Hardware - Handheld Scanner,Handheld inventory scanner (Asset ID H201) is failing to connect to the store Wi-Fi network. Unable to perform inventory tasks.,Medium,Open,Mobile App,Delhi,Customer Support,Wallet,Silver,Yes,Yes,33,2026-05-09 03:41:07
MUM-TKT0087,CUST9216,ORD51284,Security - Voided Transactions,POS system audit log shows an unusually high number of voided transactions from Register 3 within the last hour. Requires immediate investigation for potential fraud or training issue.,High,Open,Email,Mumbai,Technical Support,Debit Card,Gold,Yes,Yes,54,2026-05-08 08:41:07
CHE-TKT0088,CUST4301,ORD68528,Hardware - Handheld Scanner,Handheld inventory scanner (Asset ID H201) is failing to connect to the store Wi-Fi network. Unable to perform inventory tasks.,Medium,Open,Email,Chennai,Logistics Team,Debit Card,Silver,No,Yes,60,2026-05-09 18:41:07
CHE-TKT0089,CUST6609,ORD58524,Security - Voided Transactions,POS system audit log shows an unusually high number of voided transactions from Register 3 within the last hour. Requires immediate investigation for potential fraud or training issue.,High,Open,Mobile App,Chennai,Payment Support,Credit Card,Silver,Yes,No,64,2026-05-08 15:41:07
DEL-TKT0090,CUST4609,ORD33941,Network - System Slowdown,"All store systems (POS, Inventory, Back Office) are experiencing significant intermittent network slowdowns throughout the day. Appears to be affecting all terminals.",High,Open,Email,Delhi,Customer Support,Credit Card,Silver,Yes,Yes,57,2026-05-14 09:41:07
BEN-TKT0091,CUST7668,ORD96319,Software - CRM Performance,"CRM system is experiencing severe latency. Loading customer profiles takes upwards of 45 seconds, significantly impacting call center efficiency.",High,Open,Phone,Bengaluru,Payment Support,Wallet,Silver,Yes,Yes,44,2026-05-03 01:41:07
DEL-TKT0092,CUST1318,ORD45734,Hardware - Printer Issue,"Label printer in the receiving department is consistently printing blank labels or misaligning text. Consumables checked and replaced, issue persists.",Medium,Open,Mobile App,Delhi,Logistics Team,Credit Card,Gold,No,No,54,2026-04-30 21:41:07
PUN-TKT0093,CUST8367,ORD21722,Access - User Account,"New associate, Sarah Miller, is unable to log into the Inventory Management System. Receives 'Invalid Credentials' error. Account setup may be incomplete.",Medium,Open,Chat,Pune,Technical Support,Debit Card,Gold,No,No,54,2026-05-14 15:41:07
DEL-TKT0094,CUST8261,ORD10262,Access - User Account,"New associate, Sarah Miller, is unable to log into the Inventory Management System. Receives 'Invalid Credentials' error. Account setup may be incomplete.",Medium,Open,Mobile App,Delhi,Warehouse Operations,UPI,Gold,Yes,No,58,2026-05-17 16:41:07
CHE-TKT0095,CUST8217,ORD49767,Supply Chain - Delivery Shortage,"Receiving manifest for yesterday's shipment (PO 123456) indicates 10 cartons of SKU 45678, but only 7 were physically received. Missing 3 cartons.",Medium,Open,Email,Chennai,Customer Support,UPI,Silver,Yes,Yes,48,2026-04-26 02:41:07
MUM-TKT0096,CUST8925,ORD32975,POS - Return Error,"Customer attempting a return at Register 1. System states 'Item not found in purchase history' despite valid receipt. Manual override necessary, but system issue needs resolution.",Medium,Open,Email,Mumbai,Technical Support,UPI,Platinum,Yes,Yes,33,2026-05-23 00:41:07
MUM-TKT0097,CUST7502,ORD19805,Integration - BOPIS Sync,"Online orders designated for 'Buy Online, Pick Up In Store' are not appearing in our in-store pick-up system. Causing delays and customer dissatisfaction.",High,Open,Email,Mumbai,Customer Support,Wallet,Platinum,Yes,Yes,21,2026-05-07 00:41:07
MUM-TKT0098,CUST4161,ORD87404,Hardware - Payment Terminal,"EMV chip reader on POS Terminal 5 is intermittently failing to read customer credit cards, forcing manual entry or swipe transactions. Causing slowdowns.",Medium,Open,Mobile App,Mumbai,Technical Support,Credit Card,Gold,No,Yes,36,2026-05-05 07:41:07
DEL-TKT0099,CUST2656,ORD20372,Access - User Account,"New associate, Sarah Miller, is unable to log into the Inventory Management System. Receives 'Invalid Credentials' error. Account setup may be incomplete.",Medium,Open,Email,Delhi,Customer Support,Wallet,Gold,Yes,Yes,58,2026-05-18 19:41:07
MUM-TKT0100,CUST5440,ORD24708,Promotions - Discount Error,New promotional code 'SAVE20' is not applying the 20% discount correctly at online checkout and fails completely at in-store POS. Affecting current sales promotion.,High,Open,Email,Mumbai,Customer Support,Debit Card,Gold,No,No,24,2026-04-28 03:41:07
DEL-TKT0101,CUST1933,ORD13595,POS - Transaction Error,Customer unable to complete purchase at Register 4. System displays 'Payment Processing Failure' for all card types. Affecting transactions.,High,Open,Email,Delhi,Customer Support,Debit Card,Silver,No,Yes,22,2026-05-02 11:41:07
BEN-TKT0102,CUST8794,ORD10215,Promotions - Discount Error,New promotional code 'SAVE20' is not applying the 20% discount correctly at online checkout and fails completely at in-store POS. Affecting current sales promotion.,High,Open,Email,Bengaluru,Customer Support,Debit Card,Gold,No,Yes,9,2026-05-20 00:41:07
DEL-TKT0103,CUST5096,ORD29416,Security - Voided Transactions,POS system audit log shows an unusually high number of voided transactions from Register 3 within the last hour. Requires immediate investigation for potential fraud or training issue.,High,Open,Chat,Delhi,Warehouse Operations,UPI,Platinum,No,No,22,2026-05-21 15:41:07
PUN-TKT0104,CUST6808,ORD61660,E-commerce - Email Notification,Customers are reporting not receiving order confirmation emails or shipping notifications for their recent online purchases. Appears to be a system-wide issue.,High,Open,Chat,Pune,Fraud Investigation,Credit Card,Silver,Yes,Yes,2,2026-04-24 10:41:07
BEN-TKT0105,CUST5131,ORD33148,Network - System Slowdown,"All store systems (POS, Inventory, Back Office) are experiencing significant intermittent network slowdowns throughout the day. Appears to be affecting all terminals.",High,Open,Chat,Bengaluru,Customer Support,Wallet,Silver,No,No,72,2026-05-12 05:41:07
MUM-TKT0106,CUST6807,ORD70523,Security - Voided Transactions,POS system audit log shows an unusually high number of voided transactions from Register 3 within the last hour. Requires immediate investigation for potential fraud or training issue.,High,Open,Phone,Mumbai,Payment Support,Wallet,Silver,No,No,38,2026-05-24 14:41:07
MUM-TKT0107,CUST6022,ORD80441,E-commerce - Email Notification,Customers are reporting not receiving order confirmation emails or shipping notifications for their recent online purchases. Appears to be a system-wide issue.,High,Open,Phone,Mumbai,Logistics Team,UPI,Gold,Yes,Yes,37,2026-05-03 19:41:07
DEL-TKT0108,CUST1335,ORD77105,Hardware - Payment Terminal,"EMV chip reader on POS Terminal 5 is intermittently failing to read customer credit cards, forcing manual entry or swipe transactions. Causing slowdowns.",Medium,Open,Phone,Delhi,Warehouse Operations,Debit Card,Silver,No,Yes,7,2026-04-24 09:41:07
BEN-TKT0109,CUST3004,ORD97872,Hardware - Payment Terminal,"EMV chip reader on POS Terminal 5 is intermittently failing to read customer credit cards, forcing manual entry or swipe transactions. Causing slowdowns.",Medium,Open,Mobile App,Bengaluru,Fraud Investigation,Debit Card,Gold,No,No,56,2026-05-23 14:41:07
CHE-TKT0110,CUST5863,ORD12038,POS - Transaction Error,Customer unable to complete purchase at Register 4. System displays 'Payment Processing Failure' for all card types. Affecting transactions.,High,Open,Email,Chennai,Payment Support,Credit Card,Silver,Yes,Yes,43,2026-04-29 09:41:07
DEL-TKT0111,CUST4321,ORD63778,Network - System Slowdown,"All store systems (POS, Inventory, Back Office) are experiencing significant intermittent network slowdowns throughout the day. Appears to be affecting all terminals.",High,Open,Mobile App,Delhi,Technical Support,Credit Card,Silver,Yes,No,48,2026-05-17 22:41:07
CHE-TKT0112,CUST9528,ORD63250,POS - Return Error,"Customer attempting a return at Register 1. System states 'Item not found in purchase history' despite valid receipt. Manual override necessary, but system issue needs resolution.",Medium,Open,Phone,Chennai,Customer Support,UPI,Silver,No,No,63,2026-04-26 14:41:07
PUN-TKT0113,CUST1691,ORD43119,POS - Return Error,"Customer attempting a return at Register 1. System states 'Item not found in purchase history' despite valid receipt. Manual override necessary, but system issue needs resolution.",Medium,Open,Phone,Pune,Warehouse Operations,Debit Card,Platinum,Yes,Yes,14,2026-05-19 03:41:07
CHE-TKT0114,CUST5274,ORD53263,E-commerce - Email Notification,Customers are reporting not receiving order confirmation emails or shipping notifications for their recent online purchases. Appears to be a system-wide issue.,High,Open,Chat,Chennai,Fraud Investigation,Wallet,Platinum,No,Yes,67,2026-04-27 19:41:07
MUM-TKT0115,CUST4070,ORD78886,Network - System Slowdown,"All store systems (POS, Inventory, Back Office) are experiencing significant intermittent network slowdowns throughout the day. Appears to be affecting all terminals.",High,Open,Chat,Mumbai,Payment Support,Wallet,Gold,Yes,No,42,2026-05-13 07:41:07
CHE-TKT0116,CUST2413,ORD69392,POS - Return Error,"Customer attempting a return at Register 1. System states 'Item not found in purchase history' despite valid receipt. Manual override necessary, but system issue needs resolution.",Medium,Open,Email,Chennai,Payment Support,Credit Card,Platinum,No,Yes,43,2026-05-22 09:41:07
CHE-TKT0117,CUST4424,ORD83163,E-commerce - Product Display,Product image for SKU 334455 ('Wireless Earbuds') on the website is incorrect; currently displaying a picture of a coffee maker. Needs urgent correction.,Medium,Open,Phone,Chennai,Fraud Investigation,UPI,Platinum,No,No,48,2026-05-03 03:41:07
CHE-TKT0118,CUST6792,ORD39668,Hardware - Handheld Scanner,Handheld inventory scanner (Asset ID H201) is failing to connect to the store Wi-Fi network. Unable to perform inventory tasks.,Medium,Open,Mobile App,Chennai,Customer Support,UPI,Platinum,No,No,65,2026-05-08 17:41:07
PUN-TKT0119,CUST5899,ORD85999,E-commerce - Email Notification,Customers are reporting not receiving order confirmation emails or shipping notifications for their recent online purchases. Appears to be a system-wide issue.,High,Open,Phone,Pune,Fraud Investigation,UPI,Platinum,No,No,1,2026-04-26 01:41:07
MUM-TKT0120,CUST4233,ORD26246,Hardware - Payment Terminal,"EMV chip reader on POS Terminal 5 is intermittently failing to read customer credit cards, forcing manual entry or swipe transactions. Causing slowdowns.",Medium,Open,Mobile App,Mumbai,Customer Support,Credit Card,Silver,No,Yes,51,2026-05-20 18:41:07
BEN-TKT0121,CUST3327,ORD67588,Software - CRM Performance,"CRM system is experiencing severe latency. Loading customer profiles takes upwards of 45 seconds, significantly impacting call center efficiency.",High,Open,Phone,Bengaluru,Warehouse Operations,Credit Card,Silver,Yes,Yes,8,2026-05-12 11:41:07
MUM-TKT0122,CUST5731,ORD45888,Hardware - Printer Issue,"Label printer in the receiving department is consistently printing blank labels or misaligning text. Consumables checked and replaced, issue persists.",Medium,Open,Mobile App,Mumbai,Fraud Investigation,Wallet,Gold,No,No,52,2026-05-21 10:41:07
MUM-TKT0123,CUST1410,ORD17472,Promotions - Discount Error,New promotional code 'SAVE20' is not applying the 20% discount correctly at online checkout and fails completely at in-store POS. Affecting current sales promotion.,High,Open,Email,Mumbai,Logistics Team,UPI,Platinum,Yes,No,51,2026-05-21 02:41:07
DEL-TKT0124,CUST7553,ORD47557,Hardware - Payment Terminal,"EMV chip reader on POS Terminal 5 is intermittently failing to read customer credit cards, forcing manual entry or swipe transactions. Causing slowdowns.",Medium,Open,Mobile App,Delhi,Logistics Team,UPI,Platinum,Yes,No,42,2026-05-06 15:41:07
CHE-TKT0125,CUST2258,ORD56489,Hardware - Handheld Scanner,Handheld inventory scanner (Asset ID H201) is failing to connect to the store Wi-Fi network. Unable to perform inventory tasks.,Medium,Open,Chat,Chennai,Customer Support,Wallet,Gold,Yes,No,7,2026-05-06 17:41:07
CHE-TKT0126,CUST4400,ORD27220,Software - CRM Performance,"CRM system is experiencing severe latency. Loading customer profiles takes upwards of 45 seconds, significantly impacting call center efficiency.",High,Open,Mobile App,Chennai,Logistics Team,Wallet,Platinum,Yes,Yes,10,2026-05-07 14:41:07
PUN-TKT0127,CUST8769,ORD89053,Access - User Account,"New associate, Sarah Miller, is unable to log into the Inventory Management System. Receives 'Invalid Credentials' error. Account setup may be incomplete.",Medium,Open,Email,Pune,Customer Support,Debit Card,Silver,Yes,Yes,28,2026-05-15 12:41:07
CHE-TKT0128,CUST7281,ORD65532,POS - Transaction Error,Customer unable to complete purchase at Register 4. System displays 'Payment Processing Failure' for all card types. Affecting transactions.,High,Open,Email,Chennai,Fraud Investigation,Debit Card,Gold,No,No,47,2026-05-15 21:41:07
CHE-TKT0129,CUST2844,ORD37035,Security - Voided Transactions,POS system audit log shows an unusually high number of voided transactions from Register 3 within the last hour. Requires immediate investigation for potential fraud or training issue.,High,Open,Mobile App,Chennai,Payment Support,Credit Card,Silver,Yes,No,33,2026-05-08 16:41:07
MUM-TKT0130,CUST4522,ORD70419,Integration - BOPIS Sync,"Online orders designated for 'Buy Online, Pick Up In Store' are not appearing in our in-store pick-up system. Causing delays and customer dissatisfaction.",High,Open,Chat,Mumbai,Fraud Investigation,Credit Card,Platinum,No,No,3,2026-05-02 22:41:07
DEL-TKT0131,CUST4740,ORD42707,E-commerce - Website Bug,Online customers reporting that the 'Add to Cart' button is non-functional for products within the 'Electronics' category. Affecting sales.,High,Open,Chat,Delhi,Fraud Investigation,UPI,Platinum,Yes,No,18,2026-04-28 18:41:07
CHE-TKT0132,CUST6440,ORD31162,Hardware - POS Malfunction,POS Terminal 2 is completely frozen and unresponsive. Cannot log in or process any transactions. Hard reboot failed to resolve.,High,Open,Chat,Chennai,Payment Support,Debit Card,Silver,Yes,No,3,2026-04-27 14:41:07
BEN-TKT0133,CUST9572,ORD86392,Hardware - POS Malfunction,POS Terminal 2 is completely frozen and unresponsive. Cannot log in or process any transactions. Hard reboot failed to resolve.,High,Open,Email,Bengaluru,Fraud Investigation,Debit Card,Platinum,No,No,64,2026-04-24 17:41:07
MUM-TKT0134,CUST5892,ORD75317,Software - CRM Performance,"CRM system is experiencing severe latency. Loading customer profiles takes upwards of 45 seconds, significantly impacting call center efficiency.",High,Open,Email,Mumbai,Fraud Investigation,UPI,Platinum,Yes,No,5,2026-05-08 12:41:07
MUM-TKT0135,CUST9695,ORD25943,Hardware - Payment Terminal,"EMV chip reader on POS Terminal 5 is intermittently failing to read customer credit cards, forcing manual entry or swipe transactions. Causing slowdowns.",Medium,Open,Chat,Mumbai,Customer Support,Wallet,Gold,Yes,No,1,2026-05-22 13:41:07
BEN-TKT0136,CUST3556,ORD88995,Hardware - POS Malfunction,POS Terminal 2 is completely frozen and unresponsive. Cannot log in or process any transactions. Hard reboot failed to resolve.,High,Open,Email,Bengaluru,Payment Support,Debit Card,Silver,Yes,No,51,2026-04-25 04:41:07
CHE-TKT0137,CUST1560,ORD55880,Promotions - Discount Error,New promotional code 'SAVE20' is not applying the 20% discount correctly at online checkout and fails completely at in-store POS. Affecting current sales promotion.,High,Open,Chat,Chennai,Payment Support,Debit Card,Platinum,No,Yes,57,2026-05-14 06:41:07
CHE-TKT0138,CUST7109,ORD73812,Inventory - Discrepancy,"Daily cycle count for SKU 78901 shows a discrepancy of -15 units. Physical count is 20, system shows 35. Requires immediate investigation.",Medium,Open,Mobile App,Chennai,Warehouse Operations,Debit Card,Silver,Yes,Yes,20,2026-05-06 08:41:07
MUM-TKT0139,CUST8507,ORD53156,Hardware - Printer Issue,"Label printer in the receiving department is consistently printing blank labels or misaligning text. Consumables checked and replaced, issue persists.",Medium,Open,Chat,Mumbai,Payment Support,UPI,Platinum,Yes,Yes,42,2026-05-01 07:41:07
DEL-TKT0140,CUST9551,ORD94289,Network - System Slowdown,"All store systems (POS, Inventory, Back Office) are experiencing significant intermittent network slowdowns throughout the day. Appears to be affecting all terminals.",High,Open,Chat,Delhi,Technical Support,Debit Card,Gold,Yes,No,66,2026-05-24 13:41:07
DEL-TKT0141,CUST1552,ORD79819,Promotions - Discount Error,New promotional code 'SAVE20' is not applying the 20% discount correctly at online checkout and fails completely at in-store POS. Affecting current sales promotion.,High,Open,Chat,Delhi,Logistics Team,Debit Card,Gold,No,Yes,57,2026-05-19 02:41:07
MUM-TKT0142,CUST4480,ORD93891,Supply Chain - Delivery Shortage,"Receiving manifest for yesterday's shipment (PO 123456) indicates 10 cartons of SKU 45678, but only 7 were physically received. Missing 3 cartons.",Medium,Open,Mobile App,Mumbai,Logistics Team,Debit Card,Platinum,Yes,Yes,56,2026-05-10 21:41:07
CHE-TKT0143,CUST5180,ORD38763,Hardware - Handheld Scanner,Handheld inventory scanner (Asset ID H201) is failing to connect to the store Wi-Fi network. Unable to perform inventory tasks.,Medium,Open,Email,Chennai,Payment Support,Debit Card,Silver,Yes,Yes,7,2026-05-10 13:41:07
CHE-TKT0144,CUST4829,ORD25117,Inventory - Discrepancy,"Daily cycle count for SKU 78901 shows a discrepancy of -15 units. Physical count is 20, system shows 35. Requires immediate investigation.",Medium,Open,Phone,Chennai,Logistics Team,Wallet,Gold,No,Yes,10,2026-04-26 05:41:07
PUN-TKT0145,CUST3832,ORD14672,Software - CRM Performance,"CRM system is experiencing severe latency. Loading customer profiles takes upwards of 45 seconds, significantly impacting call center efficiency.",High,Open,Chat,Pune,Customer Support,Wallet,Platinum,No,No,25,2026-05-01 06:41:07
DEL-TKT0146,CUST6117,ORD42456,Hardware - Printer Issue,"Label printer in the receiving department is consistently printing blank labels or misaligning text. Consumables checked and replaced, issue persists.",Medium,Open,Chat,Delhi,Technical Support,UPI,Gold,No,No,5,2026-05-07 20:41:07
BEN-TKT0147,CUST9900,ORD44391,Reporting - Data Inaccuracy,"End-of-day sales report for Store 010 shows $0.00 total sales, which is incorrect. Actual sales were over $10,000. Data integrity issue.",High,Open,Mobile App,Bengaluru,Technical Support,Credit Card,Gold,Yes,No,27,2026-05-04 15:41:07
PUN-TKT0148,CUST3344,ORD71407,E-commerce - Website Bug,Online customers reporting that the 'Add to Cart' button is non-functional for products within the 'Electronics' category. Affecting sales.,High,Open,Email,Pune,Technical Support,Debit Card,Silver,No,Yes,20,2026-05-10 01:41:07
DEL-TKT0149,CUST7242,ORD32446,Hardware - Handheld Scanner,Handheld inventory scanner (Asset ID H201) is failing to connect to the store Wi-Fi network. Unable to perform inventory tasks.,Medium,Open,Chat,Delhi,Payment Support,Credit Card,Gold,Yes,No,17,2026-04-25 18:41:07
